timestamp,rank,name,price,change_24h,market_cap
9/4/2026 15:31,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:31,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:31,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:31,9,Hyperliquid,$86.86 ,6.28%,$21.85B
9/4/2026 15:31,10,Zcash,"$1,004.03 ",21.14%,$16.92B
9/4/2026 15:31,1,Bitcoin,"$81,133.20 ",4.58%,$1.62T
9/4/2026 15:31,2,Ethereum,"$2,524.00 ",5.43%,$307.98B
9/4/2026 15:31,3,Tether,$1.00 ,0.05%,$183.36B
9/4/2026 15:31,4,BNB,$718.99 ,2.47%,$95.74B
9/4/2026 15:31,5,XRP,$1.45 ,6.51%,$91.13B
9/4/2026 15:31,6,USDC,$1.00 ,0.02%,$74.19B
9/4/2026 15:31,7,Solana,$104.26 ,3.99%,$61.03B
9/4/2026 15:31,8,TRON,$0.33 ,0.31%,$31.13B
9/4/2026 15:31,9,Hyperliquid,$86.87 ,6.30%,$21.85B
9/4/2026 15:31,10,Zcash,"$1,004.41 ",21.13%,$16.92B
9/4/2026 15:32,1,Bitcoin,"$81,133.20 ",4.58%,$1.62T
9/4/2026 15:32,2,Ethereum,"$2,524.00 ",5.43%,$307.98B
9/4/2026 15:32,3,Tether,$1.00 ,0.05%,$183.36B
9/4/2026 15:32,4,BNB,$718.99 ,2.47%,$95.74B
9/4/2026 15:32,5,XRP,$1.45 ,6.51%,$91.13B
9/4/2026 15:32,6,USDC,$1.00 ,0.02%,$74.19B
9/4/2026 15:32,7,Solana,$104.26 ,3.99%,$61.03B
9/4/2026 15:32,8,TRON,$0.33 ,0.31%,$31.13B
9/4/2026 15:32,9,Hyperliquid,$86.88 ,6.33%,$21.85B
9/4/2026 15:32,10,Zcash,"$1,002.37 ",20.94%,$16.89B
9/4/2026 15:34,1,Bitcoin,"$81,027.94 ",4.44%,$1.62T
9/4/2026 15:34,2,Ethereum,"$2,523.16 ",5.41%,$307.98B
9/4/2026 15:34,3,Tether,$1.00 ,0.05%,$183.36B
9/4/2026 15:34,4,BNB,$718.99 ,2.47%,$95.74B
9/4/2026 15:34,5,XRP,$1.45 ,6.51%,$91.13B
9/4/2026 15:34,6,USDC,$1.00 ,0.02%,$74.19B
9/4/2026 15:34,7,Solana,$104.26 ,3.99%,$61.03B
9/4/2026 15:34,8,TRON,$0.33 ,0.31%,$31.13B
9/4/2026 15:34,9,Hyperliquid,$86.71 ,5.89%,$21.81B
9/4/2026 15:34,10,Zcash,"$1,004.41 ",21.13%,$16.92B
9/4/2026 15:35,1,Bitcoin,"$81,027.94 ",4.44%,$1.62T
9/4/2026 15:35,2,Ethereum,"$2,523.16 ",5.41%,$307.98B
9/4/2026 15:35,3,Tether,$1.00 ,0.05%,$183.36B
9/4/2026 15:35,4,BNB,$718.99 ,2.47%,$95.74B
9/4/2026 15:35,5,XRP,$1.45 ,6.51%,$91.13B
9/4/2026 15:35,6,USDC,$1.00 ,0.02%,$74.19B
9/4/2026 15:35,7,Solana,$104.26 ,3.99%,$61.03B
9/4/2026 15:35,8,TRON,$0.33 ,0.31%,$31.13B
9/4/2026 15:35,9,Hyperliquid,$86.71 ,5.89%,$21.81B
9/4/2026 15:35,10,Zcash,"$1,004.41 ",21.13%,$16.92B
9/4/2026 15:36,1,Bitcoin,"$80,998.52 ",4.41%,$1.62T
9/4/2026 15:36,2,Ethereum,"$2,521.07 ",5.36%,$307.97B
9/4/2026 15:36,3,Tether,$1.00 ,0.03%,$183.34B
9/4/2026 15:36,4,BNB,$719.17 ,2.56%,$95.76B
9/4/2026 15:36,5,XRP,$1.45 ,6.61%,$91.11B
9/4/2026 15:36,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:36,7,Solana,$104.25 ,4.05%,$61.02B
9/4/2026 15:36,8,TRON,$0.33 ,0.29%,$31.13B
9/4/2026 15:36,9,Hyperliquid,$87.13 ,6.58%,$21.92B
9/4/2026 15:36,10,Zcash,$998.79 ,20.34%,$16.83B
9/4/2026 15:37,1,Bitcoin,"$80,998.52 ",4.41%,$1.62T
9/4/2026 15:37,2,Ethereum,"$2,521.07 ",5.36%,$307.97B
9/4/2026 15:37,3,Tether,$1.00 ,0.03%,$183.34B
9/4/2026 15:37,4,BNB,$719.17 ,2.56%,$95.76B
9/4/2026 15:37,5,XRP,$1.45 ,6.61%,$91.11B
9/4/2026 15:37,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:37,7,Solana,$104.25 ,4.05%,$61.02B
9/4/2026 15:37,8,TRON,$0.33 ,0.29%,$31.13B
9/4/2026 15:37,9,Hyperliquid,$87.12 ,6.55%,$21.91B
9/4/2026 15:37,10,Zcash,$999.21 ,20.36%,$16.83B
9/4/2026 15:38,1,Bitcoin,"$81,102.36 ",4.49%,$1.62T
9/4/2026 15:38,2,Ethereum,"$2,523.64 ",5.47%,$307.97B
9/4/2026 15:38,3,Tether,$1.00 ,0.03%,$183.34B
